cancionid,difusora,categoria,categoriaid,idmedia,catidmedia,idusuario1,idusuario2,titulo,interprete,interprete 2,interprete 3,interprete 4,sello,duracion,version,lenguaje,año,bpm,tiempo entrada,tiempo salida,archivo,album,autor,genero musical,energia,tiempo,humor,idusuario3,idusuario4,idusuario5
1,XHDQ,Pop,101,1001,201,10001,10002,Bohemian Rhapsody,Queen,,,,"EMI Records",355,Original,Inglés,1975,72,00:00:00,00:05:55,bohemian_rhapsody.mp3,A Night at the Opera,Freddie Mercury,Rock,8,Medio,Melancólico,10003,10004,10005
2,XRAD,Rock,102,1002,202,10006,10007,Hotel California,Eagles,,,,"Asylum Records",391,Original,Inglés,1976,76,00:00:00,00:06:31,hotel_california.mp3,Hotel California,Don Henley,Rock,7,Medio,Melancólico,10008,10009,10010
3,XHPER,Pop,101,1003,201,10011,10012,Billie Jean,Michael Jackson,,,,"Epic Records",294,Original,Inglés,1982,117,00:00:00,00:04:54,billie_jean.mp3,Thriller,Michael Jackson,Pop,9,Rápido,Alegre,10013,10014,10015
4,XHOZ,Clásica,103,1004,203,10016,10017,Canon in D,Pachelbel,,,,"Deutsche Grammophon",324,Original,Alemán,1680,60,00:00:00,00:05:24,canon_in_d.mp3,Canon and Gigue,Pachelbel,Clásica,3,Lento,Sereno,10018,10019,10020
5,XHDQ,Pop,101,1005,201,10021,10022,Imagine,John Lennon,,,,"Apple Records",183,Original,Inglés,1971,76,00:00:00,00:03:03,imagine.mp3,Imagine,John Lennon,Pop,6,Medio,Melancólico,10023,10024,10025
6,XRAD,Rock,102,1006,202,10026,10027,Stairway to Heaven,Led Zeppelin,,,,"Atlantic Records",482,Original,Inglés,1971,63,00:00:00,00:08:02,stairway_to_heaven.mp3,Led Zeppelin IV,Jimmy Page,Rock,8,Medio,Melancólico,10028,10029,10030
7,XHPER,Pop,101,1007,201,10031,10032,Like a Rolling Stone,Bob Dylan,,,,"Columbia Records",366,Original,Inglés,1965,120,00:00:00,00:06:06,like_a_rolling_stone.mp3,Highway 61 Revisited,Bob Dylan,Rock,7,Medio,Melancólico,10033,10034,10035
8,XHOZ,Jazz,104,1008,204,10036,10037,Take Five,Dave Brubeck,,,,"Columbia Records",324,Original,Inglés,1959,176,00:00:00,00:05:24,take_five.mp3,Time Out,Paul Desmond,Jazz,6,Medio,Sereno,10038,10039,10040
9,XHDQ,Pop,101,1009,201,10041,10042,Hey Jude,The Beatles,,,,"Apple Records",431,Original,Inglés,1968,70,00:00:00,00:07:11,hey_jude.mp3,The Beatles 1967-1970,Paul McCartney,Pop,8,Medio,Alegre,10043,10044,10045
10,XRAD,Rock,102,1010,202,10046,10047,Purple Rain,Prince,,,,"Warner Bros",518,Original,Inglés,1984,120,00:00:00,00:08:38,purple_rain.mp3,Purple Rain,Prince,Rock,9,Rápido,Melancólico,10048,10049,10050
11,XHPER,Pop,101,1011,201,10051,10052,Sweet Child O' Mine,Guns N' Roses,,,,"Geffen Records",356,Original,Inglés,1987,125,00:00:00,00:05:56,sweet_child_o_mine.mp3,Appetite for Destruction,Axl Rose,Rock,9,Rápido,Alegre,10053,10054,10055
12,XHOZ,Clásica,103,1012,203,10056,10057,Clair de Lune,Debussy,,,,"Deutsche Grammophon",299,Original,Francés,1905,66,00:00:00,00:04:59,clair_de_lune.mp3,Suite Bergamasque,Claude Debussy,Clásica,2,Lento,Sereno,10058,10059,10060
13,XHDQ,Pop,101,1013,201,10061,10062,Smells Like Teen Spirit,Nirvana,,,,"DGC Records",301,Original,Inglés,1991,117,00:00:00,00:05:01,smells_like_teen_spirit.mp3,Nevermind,Kurt Cobain,Grunge,9,Rápido,Agresivo,10063,10064,10065
14,XRAD,Rock,102,1014,202,10066,10067,Comfortably Numb,Pink Floyd,,,,"Harvest Records",384,Original,Inglés,1979,70,00:00:00,00:06:24,comfortably_numb.mp3,The Wall,Roger Waters,Rock,7,Medio,Melancólico,10068,10069,10070
15,XHPER,Pop,101,1015,201,10071,10072,One,Metallica,,,,"Elektra Records",448,Original,Inglés,1988,60,00:00:00,00:07:28,one.mp3,...And Justice for All,James Hetfield,Metal,8,Medio,Agresivo,10073,10074,10075
16,XHOZ,Jazz,104,1016,204,10076,10077,Blue in Green,Miles Davis,,,,"Columbia Records",337,Original,Inglés,1959,120,00:00:00,00:05:37,blue_in_green.mp3,Kind of Blue,Bill Evans,Jazz,4,Medio,Sereno,10078,10079,10080
17,XHDQ,Pop,101,1017,201,10081,10082,Don't Stop Believin',Journey,,,,"Columbia Records",251,Original,Inglés,1981,120,00:00:00,00:04:11,dont_stop_believin.mp3,Escape,Steve Perry,Pop,8,Rápido,Alegre,10083,10084,10085
18,XRAD,Rock,102,1018,202,10086,10087,Black,Perl Jam,,,,"Epic Records",343,Original,Inglés,1991,76,00:00:00,00:05:43,black.mp3,Ten,Eddie Vedder,Grunge,7,Medio,Melancólico,10088,10089,10090
19,XHPER,Pop,101,1019,201,10091,10092,Under the Bridge,Red Hot Chili Peppers,,,,"Warner Bros",264,Original,Inglés,1991,120,00:00:00,00:04:24,under_the_bridge.mp3,Blood Sugar Sex Magik,Anthony Kiedis,Alternative,6,Medio,Melancólico,10093,10094,10095
20,XHOZ,Clásica,103,1020,203,10096,10097,The Four Seasons - Spring,Vivaldi,,,,"Deutsche Grammophon",201,Original,Italiano,1725,140,00:00:00,00:03:21,four_seasons_spring.mp3,The Four Seasons,Antonio Vivaldi,Clásica,6,Medio,Alegre,10098,10099,10100
